report_period_start,report_period_end,start_timestamp,end_timestamp,namespace,cpu_request_namespace_sum,cpu_limit_namespace_sum,cpu_usage_namespace_avg,cpu_usage_namespace_min,cpu_usage_namespace_max,cpu_throttle_namespace_avg,cpu_throttle_namespace_max,cpu_throttle_namespace_min,memory_request_namespace_sum,memory_limit_namespace_sum,memory_usage_namespace_avg,memory_usage_namespace_min,memory_usage_namespace_max,memory_rss_usage_namespace_avg,memory_rss_usage_namespace_min,memory_rss_usage_namespace_max,namespace_totalpods_sum,namespace_running_pods_sum
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 17:00:01 +0000 UTC,2023-05-27 17:15:00 +0000 UTC,clowder-system,0,0,0.000018,0,0.00008,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 17:15:01 +0000 UTC,2023-05-27 17:30:00 +0000 UTC,clowder-system,0,0,0.000042,0,0.000125,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 17:30:01 +0000 UTC,2023-05-27 17:45:00 +0000 UTC,clowder-system,0,0,0.000027,0,0.000119,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 17:45:01 +0000 UTC,2023-05-27 18:00:00 +0000 UTC,clowder-system,0,0,0.000033,0,0.0001,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 18:00:01 +0000 UTC,2023-05-27 18:15:00 +0000 UTC,clowder-system,0,0,0.000033,0,0.000147,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 18:15:01 +0000 UTC,2023-05-27 18:30:00 +0000 UTC,clowder-system,0,0,0.00003,0,0.000128,,,0,0,0,2924808.258065,2916352,3178496,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 18:30:01 +0000 UTC,2023-05-27 18:45:00 +0000 UTC,clowder-system,0,0,0.000032,0,0.000094,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 18:45:01 +0000 UTC,2023-05-27 19:00:00 +0000 UTC,clowder-system,0,0,0.000023,0,0.000092,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 19:00:01 +0000 UTC,2023-05-27 19:15:00 +0000 UTC,clowder-system,0,0,0.000026,0,0.000124,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 19:15:01 +0000 UTC,2023-05-27 19:30:00 +0000 UTC,clowder-system,0,0,0.000023,0,0.000118,,,0,0,0,2916352,2916352,2916352,1658880,1658880,1658880,6,6
