report_period_start,report_period_end,interval_start,interval_end,container_name,owner_kind,workload,workload_type,namespace,image_name,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:00:01 +0000 UTC,2023-03-15 13:15:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001753,0.000731,0.013463,0.001753,5.1E-05,5.1E-05,5.1E-05,20971520,20971520,524288000,524288000,48108973.419355,45551616,48582656,48108973.419355,26973084.903226,26578944,27643904,26973084.903226,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:15:01 +0000 UTC,2023-03-15 13:30:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001388,0.000482,0.002147,0.001388,0,0,0,20971520,20971520,524288000,524288000,48211373.419355,48013312,48406528,48211373.419355,26702088.258065,26525696,26873856,26702088.258065,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:30:01 +0000 UTC,2023-03-15 13:45:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001429,0.000641,0.002295,0.001429,0,0,0,20971520,20971520,524288000,524288000,48443524.129032,48103424,48943104,48443524.129032,26740934.193548,26398720,27238400,26740934.193548,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:45:01 +0000 UTC,2023-03-15 14:00:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001359,0.000553,0.002316,0.001359,0,0,0,20971520,20971520,524288000,524288000,48471271.225806,48197632,48730112,48471271.225806,26768020.645161,26497024,27029504,26768020.645161,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:00:01 +0000 UTC,2023-03-15 14:15:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.00159,0.000493,0.009263,0.00159,5.6E-05,5.6E-05,5.6E-05,20971520,20971520,524288000,524288000,48784020.645161,48304128,49852416,48784020.645161,26889182.967742,26501120,27951104,26889182.967742,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:15:01 +0000 UTC,2023-03-15 14:30:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001443,0.000781,0.002148,0.001443,0,0,0,20971520,20971520,524288000,524288000,48635771.870968,48435200,48820224,48635771.870968,26717811.612903,26517504,26902528,26717811.612903,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:30:01 +0000 UTC,2023-03-15 14:45:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.00135,0.000548,0.002118,0.00135,0,0,0,20971520,20971520,524288000,524288000,47614414.451613,47280128,48222208,47614414.451613,26685043.612903,26443776,27254784,26685043.612903,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:45:01 +0000 UTC,2023-03-15 15:00:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001395,0.00071,0.002038,0.001395,0,0,0,20971520,20971520,524288000,524288000,47158569.290323,46723072,47669248,47158569.290323,26705787.870968,26443776,26935296,26705787.870968,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:00:01 +0000 UTC,2023-03-15 15:15:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001684,0.000712,0.010371,0.001684,0,0,0,20971520,20971520,524288000,524288000,46950730.322581,46350336,50757632,46950730.322581,27171014.193548,26566656,30973952,27171014.193548,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:15:01 +0000 UTC,2023-03-15 15:30:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001398,0.000677,0.002109,0.001398,0,0,0,20971520,20971520,524288000,524288000,46511004.903226,46276608,46989312,46511004.903226,26724285.935484,26488832,27205632,26724285.935484,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:30:01 +0000 UTC,2023-03-15 15:45:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001323,0.000554,0.001999,0.001323,0,0,0,20971520,20971520,524288000,524288000,46500302.451613,46194688,46772224,46500302.451613,26715565.419355,26411008,26984448,26715565.419355,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:45:01 +0000 UTC,2023-03-15 16:00:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001402,0.000396,0.002255,0.001402,0,0,0,20971520,20971520,524288000,524288000,46103254.709677,45727744,46645248,46103254.709677,26722964.645161,26525696,26959872,26722964.645161,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:00:01 +0000 UTC,2023-03-15 16:15:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001761,0.00047,0.010658,0.001761,2.3E-05,2.3E-05,2.3E-05,20971520,20971520,524288000,524288000,46505191.225806,45617152,53415936,46505191.225806,27284909.419355,26230784,34029568,27284909.419355,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:15:01 +0000 UTC,2023-03-15 16:30:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001334,0.000617,0.002089,0.001334,0,0,0,20971520,20971520,524288000,524288000,45837939.612903,45604864,46358528,45837939.612903,26757978.83871,26599424,27353088,26757978.83871,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:30:01 +0000 UTC,2023-03-15 16:45:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.00136,0.000699,0.002361,0.00136,0,0,0,20971520,20971520,524288000,524288000,45524925.935484,45113344,46100480,45524925.935484,26760225.032258,26447872,27250688,26760225.032258,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:45:01 +0000 UTC,2023-03-15 17:00:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001378,0.000584,0.002044,0.001378,0,0,0,20971520,20971520,524288000,524288000,44915943.225806,44523520,45363200,44915943.225806,26755996.903226,26574848,27279360,26755996.903226,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:00:01 +0000 UTC,2023-03-15 17:15:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001801,0.000568,0.015247,0.001801,4.5E-05,4.5E-05,4.5E-05,20971520,20971520,524288000,524288000,43966199.741935,43429888,44638208,43966199.741935,26901206.709677,26537984,27557888,26901206.709677,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:15:01 +0000 UTC,2023-03-15 17:30:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001351,0.000467,0.002123,0.001351,0,0,0,20971520,20971520,524288000,524288000,43776858.83871,43544576,44056576,43776858.83871,26684382.967742,26468352,26980352,26684382.967742,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:30:01 +0000 UTC,2023-03-15 17:45:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001337,0.00047,0.002835,0.001337,0,0,0,20971520,20971520,524288000,524288000,43843451.870968,43577344,44208128,43843451.870968,26737366.709677,26468352,27099136,26737366.709677,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:45:01 +0000 UTC,2023-03-15 18:00:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001448,0.000628,0.002602,0.001448,0,0,0,20971520,20971520,524288000,524288000,44779850.322581,43745280,46579712,44779850.322581,27027125.677419,26574848,28262400,27027125.677419,deployment,costmanagement-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 18:00:01 +0000 UTC,2023-03-15 18:15:00 +0000 UTC,manager,ReplicaSet,costmanagement-metrics-operator,deployment,costmanagement-metrics-operator,test,0.1,0.1,0.5,0.5,0.001602,0.00062,0.008902,0.001602,4.9E-05,4.9E-05,4.9E-05,20971520,20971520,524288000,524288000,45276655.483871,44806144,48222208,45276655.483871,26997528.774194,26587136,29855744,26997528.774194,deployment,costmanagement-metrics-operator
