report_period_start,report_period_end,interval_start,interval_end,container_name,owner_kind,workload,workload_type,namespace,image_name,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:00:01 +0000 UTC,2023-03-15 13:15:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.0481155,0.031637,0.065274,0.096231,,,0,1073741824,2147483648,1073741824,2147483648,552482287.483871,535310336,579817472,1104964574.96774,529496988.903226,521351168,549732352,1058993977.80645,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:15:01 +0000 UTC,2023-03-15 13:30:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.048095,0.031525,0.064991,0.09619,,,0,1073741824,2147483648,1073741824,2147483648,552000280.774194,536035328,567947264,1104000561.54839,528841364.645161,520781824,536592384,1057682729.29032,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:30:01 +0000 UTC,2023-03-15 13:45:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.048279,0.031476,0.0799,0.096558,,,0,1073741824,2147483648,1073741824,2147483648,551991758.451613,536096768,567951360,1103983516.90323,528666690.064516,520781824,536596480,1057333380.12903,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:45:01 +0000 UTC,2023-03-15 14:00:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.048519,0.016183,0.081055,0.097038,,,0,1073741824,2147483648,1073741824,2147483648,552506599.225807,536035328,594366464,1105013198.45161,529276795.870968,520790016,561967104,1058553591.74194,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:00:01 +0000 UTC,2023-03-15 14:15:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.0480185,0.030906,0.064841,0.096037,,,0,1073741824,2147483648,1073741824,2147483648,553128728.774194,536035328,594030592,1106257457.54839,529976683.354839,520781824,561676288,1059953366.70968,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:15:01 +0000 UTC,2023-03-15 14:30:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.047867,0.030809,0.065114,0.095734,,,0,1073741824,2147483648,1073741824,2147483648,552971230.967742,536104960,595300352,1105942461.93548,529590800.516129,520785920,562941952,1059181601.03226,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:30:01 +0000 UTC,2023-03-15 14:45:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.047961,0.031262,0.065213,0.095922,,,0,1073741824,2147483648,1073741824,2147483648,552512545.032258,536104960,567984128,1105025090.06452,529063473.548387,520785920,536596480,1058126947.09677,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:45:01 +0000 UTC,2023-03-15 15:00:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.04843,0.017887,0.065222,0.09686,,,0,1073741824,2147483648,1073741824,2147483648,553883581.935484,538619904,567898112,1107767163.87097,530310309.16129,522899456,548413440,1060620618.32258,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:00:01 +0000 UTC,2023-03-15 15:15:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.0482015,0.015981,0.065588,0.096403,,,0,1073741824,2147483648,1073741824,2147483648,552965747.612904,538611712,566878208,1105931495.22581,530011895.741936,523468800,536334336,1060023791.48387,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:15:01 +0000 UTC,2023-03-15 15:30:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.048191,0.016791,0.065072,0.096382,,,0,1073741824,2147483648,1073741824,2147483648,553309084.903226,538628096,566681600,1106618169.80645,530153339.870968,522907648,543936512,1060306679.74194,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:30:01 +0000 UTC,2023-03-15 15:45:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.04813,0.01604,0.078424,0.09626,,,0,1073741824,2147483648,1073741824,2147483648,553644296.258065,538701824,566603776,1107288592.51613,530189146.83871,522911744,538890240,1060378293.67742,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:45:01 +0000 UTC,2023-03-15 16:00:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.0482605,0.031116,0.064492,0.096521,,,0,1073741824,2147483648,1073741824,2147483648,553071186.580646,538710016,566603776,1106142373.16129,529863052.387097,522915840,543760384,1059726104.77419,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:00:01 +0000 UTC,2023-03-15 16:15:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.0480065,0.03152,0.064241,0.096013,,,0,1073741824,2147483648,1073741824,2147483648,553161959.225807,538808320,591704064,1106323918.45161,529932089.806452,522989568,560275456,1059864179.6129,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:15:01 +0000 UTC,2023-03-15 16:30:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.048137,0.016054,0.064678,0.096274,,,0,1073741824,2147483648,1073741824,2147483648,553640200.258065,538816512,567336960,1107280400.51613,530058603.354839,522997760,543125504,1060117206.70968,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:30:01 +0000 UTC,2023-03-15 16:45:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.0478385,0.016373,0.080285,0.095677,,,0,1073741824,2147483648,1073741824,2147483648,553293163.354839,538726400,587800576,1106586326.70968,530134511.483871,523001856,556244992,1060269022.96774,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:45:01 +0000 UTC,2023-03-15 17:00:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.0480235,0.016224,0.079442,0.096047,,,0,1073741824,2147483648,1073741824,2147483648,553541499.870968,538697728,567840768,1107082999.74194,530283553.032258,522919936,540418048,1060567106.06452,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:00:01 +0000 UTC,2023-03-15 17:15:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.0483115,0.031028,0.065323,0.096623,,,0,1073741824,2147483648,1073741824,2147483648,552399310.451613,538660864,573919232,1104798620.90323,529826254.451613,522924032,543895552,1059652508.90323,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:15:01 +0000 UTC,2023-03-15 17:30:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,america,test,,0,,0,0.0476855,0.028586,0.064507,0.095371,,,0,1073741824,2147483648,1073741824,2147483648,553725952,538656768,583077888,1107451904,531123034.83871,522915840,552935424,1062246069.67742,deploymentconfig,eap-app
