report_period_start,report_period_end,interval_start,interval_end,container_name,owner_kind,workload,workload_type,namespace,image_name,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:00:01 +0000 UTC,2023-03-15 13:15:00 +0000 UTC,eap-app,ReplicationController,<none>,deploymentconfig,america,test,,0,,0,0.047523,0.015713,0.064315,0.095046,,,0,1073741824,2147483648,1073741824,2147483648,581476946.580645,542887936,617893888,1162953893.16129,511905461.677419,507510784,519512064,1023810923.35484,replicationcontroller,example
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:15:01 +0000 UTC,2023-03-15 13:30:00 +0000 UTC,eap-app,ReplicationController,<none>,deploymentconfig,america,test,,0,,0,0.046962,0.030852,0.063691,0.093924,,,0,1073741824,2147483648,1073741824,2147483648,582076944.516129,544968704,618020864,1164153889.03226,512447917.419355,507518976,541794304,1024895834.83871,replicationcontroller,example
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:30:01 +0000 UTC,2023-03-15 13:45:00 +0000 UTC,eap-app,ReplicationController,<none>,deploymentconfig,america,test,,0,,0,0.04699,0.015945,0.077944,0.09398,,,0,1073741824,2147483648,1073741824,2147483648,581422311.225806,544956416,617979904,1162844622.45161,511722066.580645,506519552,516161536,1023444133.16129,replicationcontroller,example
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:45:01 +0000 UTC,2023-03-15 14:00:00 +0000 UTC,eap-app,ReplicationController,<none>,deploymentconfig,america,test,,0,,0,0.047645,0.016346,0.064384,0.09529,,,0,1073741824,2147483648,1073741824,2147483648,581754153.290323,544948224,617910272,1163508306.58065,511712553.290323,506515456,535724032,1023425106.58065,replicationcontroller,example
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:00:01 +0000 UTC,2023-03-15 14:15:00 +0000 UTC,eap-app,ReplicationController,<none>,deploymentconfig,america,test,,0,,0,0.0473315,0.016291,0.068444,0.094663,,,0,1073741824,2147483648,1073741824,2147483648,581746952.258064,544944128,618000384,1163493904.51613,512161065.290323,507445248,537112576,1024322130.58065,replicationcontroller,example
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:15:01 +0000 UTC,2023-03-15 14:30:00 +0000 UTC,eap-app,ReplicationController,<none>,deploymentconfig,america,test,,0,,0,0.0472745,0.01611,0.078794,0.094549,,,0,1073741824,2147483648,1073741824,2147483648,581681746.580646,544935936,633626624,1163363493.16129,512350208,507449344,522440704,1024700416,replicationcontroller,example
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:30:01 +0000 UTC,2023-03-15 14:45:00 +0000 UTC,eap-app,ReplicationController,<none>,deploymentconfig,america,test,,0,,0,0.0471025,0.03102,0.079616,0.094205,,,0,1073741824,2147483648,1073741824,2147483648,581387759.483871,544935936,617906176,1162775518.96774,512000660.645161,507445248,516145152,1024001321.29032,replicationcontroller,example
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:45:01 +0000 UTC,2023-03-15 15:00:00 +0000 UTC,eap-app,ReplicationController,<none>,deploymentconfig,america,test,,0,,0,0.0474125,0.016886,0.07908,0.094825,,,0,1073741824,2147483648,1073741824,2147483648,581890906.83871,544968704,634183680,1163781813.67742,512677293.419354,508276736,529276928,1025354586.83871,replicationcontroller,example
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:00:01 +0000 UTC,2023-03-15 15:15:00 +0000 UTC,eap-app,ReplicationController,<none>,deploymentconfig,america,test,,0,,0,0.047398,0.030662,0.078935,0.094796,,,0,1073741824,2147483648,1073741824,2147483648,581337352.258065,544915456,617885696,1162674704.51613,512179431.225807,508276736,516145152,1024358862.45161,replicationcontroller,example
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:15:01 +0000 UTC,2023-03-15 15:30:00 +0000 UTC,eap-app,ReplicationController,<none>,deploymentconfig,america,test,,0,,0,0.046811,0.016087,0.079079,0.093622,,,0,1073741824,2147483648,1073741824,2147483648,582169104.516129,544915456,641867776,1164338209.03226,512977953.032258,508276736,542429184,1025955906.06452,replicationcontroller,example
