report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,accelerator_model_name,accelerator_profile_name,accelerator_core_usage_percentage_min,accelerator_core_usage_percentage_max,accelerator_core_usage_percentage_avg,accelerator_memory_copy_percentage_min,accelerator_memory_copy_percentage_max,accelerator_memory_copy_percentage_avg,accelerator_frame_buffer_usage_min,accelerator_frame_buffer_usage_max,accelerator_frame_buffer_usage_avg
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T00:00:00,2025-06-15T00:15:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.848,0.678,0.89,0.848,0.013,0.019,0.013,600000000,600000000,1200000000,1200000000,1003386747,802709397,1053556084,1003386747,511687707,358181394,614025248,511687707,NVIDIA-A100-SXM4-40GB,,33.45,72.48,55.75,26.47,74.12,52.94,7397.49,13738.19,10567.84
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T00:15:00,2025-06-15T00:30:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.935,0.748,0.982,0.935,0.02,0.03,0.02,600000000,600000000,1200000000,1200000000,1104604373,883683498,1159834591,1104604373,507618395,355332876,609142074,507618395,NVIDIA-A100-SXM4-40GB,,42.29,91.64,70.49,28.64,80.18,57.27,7211.8,13393.34,10302.57
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T00:30:00,2025-06-15T00:45:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.744,0.595,0.781,0.744,0.03,0.045,0.03,600000000,600000000,1200000000,1200000000,780134444,624107555,819141166,780134444,357032808,249922965,428439369,357032808,NVIDIA-A100-SXM4-40GB,,31.39,68.0,52.31,24.48,68.54,48.96,6484.22,12042.12,9263.17
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T00:45:00,2025-06-15T01:00:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.938,0.75,0.985,0.938,0.02,0.03,0.02,600000000,600000000,1200000000,1200000000,737386930,589909544,774256276,737386930,383672060,268570442,460406472,383672060,NVIDIA-A100-SXM4-40GB,,37.04,80.26,61.74,29.64,82.99,59.28,7166.15,13308.57,10237.36
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T01:00:00,2025-06-15T01:15:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.797,0.638,0.837,0.797,0.024,0.036,0.024,600000000,600000000,1200000000,1200000000,1066073010,852858408,1119376660,1066073010,656980937,459886655,788377124,656980937,NVIDIA-A100-SXM4-40GB,,44.63,96.69,74.38,29.2,81.77,58.41,7954.01,14771.73,11362.87
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T01:15:00,2025-06-15T01:30:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.822,0.658,0.863,0.822,0.029,0.044,0.029,600000000,600000000,1200000000,1200000000,1123988937,899191149,1180188383,1123988937,670426604,469298622,804511924,670426604,NVIDIA-A100-SXM4-40GB,,37.7,81.68,62.83,27.25,76.29,54.49,7080.91,13150.27,10115.59
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T01:30:00,2025-06-15T01:45:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.579,0.463,0.608,0.579,0.011,0.017,0.011,600000000,600000000,1200000000,1200000000,1121180722,896944577,1177239758,1121180722,782963438,548074406,939556125,782963438,NVIDIA-A100-SXM4-40GB,,30.75,66.62,51.25,28.7,80.37,57.41,7995.15,14848.15,11421.65
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T01:45:00,2025-06-15T02:00:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.576,0.461,0.605,0.576,0.015,0.022,0.015,600000000,600000000,1200000000,1200000000,1032282718,825826174,1083896853,1032282718,573981949,401787364,688778338,573981949,NVIDIA-A100-SXM4-40GB,,34.85,75.52,58.09,22.97,64.32,45.94,6771.59,12575.81,9673.7
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T02:00:00,2025-06-15T02:15:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.901,0.721,0.946,0.901,0.014,0.021,0.014,600000000,600000000,1200000000,1200000000,992550235,794040188,1042177746,992550235,642498552,449748986,770998262,642498552,NVIDIA-A100-SXM4-40GB,,41.49,89.9,69.15,26.41,73.93,52.81,7096.67,13179.53,10138.1
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T02:15:00,2025-06-15T02:30:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.692,0.554,0.727,0.692,0.024,0.036,0.024,600000000,600000000,1200000000,1200000000,1098579042,878863233,1153507994,1098579042,577624331,404337031,693149197,577624331,NVIDIA-A100-SXM4-40GB,,37.82,81.94,63.03,23.08,64.62,46.16,7548.47,14018.59,10783.53
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T02:30:00,2025-06-15T02:45:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.667,0.534,0.7,0.667,0.021,0.032,0.021,600000000,600000000,1200000000,1200000000,819427000,655541600,860398350,819427000,415448294,290813805,498537952,415448294,NVIDIA-A100-SXM4-40GB,,40.92,88.66,68.2,27.45,76.86,54.9,7470.5,13873.78,10672.14
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T02:45:00,2025-06-15T03:00:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.663,0.53,0.696,0.663,0.018,0.027,0.018,600000000,600000000,1200000000,1200000000,1065228848,852183078,1118490290,1065228848,446211087,312347760,535453304,446211087,NVIDIA-A100-SXM4-40GB,,40.07,86.83,66.79,25.17,70.48,50.34,6301.28,11702.38,9001.83
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T03:00:00,2025-06-15T03:15:00,gpu-full-app-container,gpu-full-app-pod-0,gpu-full-app,Statefulset,gpu-full-app,statefulset,ml,quay.io/production/gpu-full-app:latest,ip-255-255-255-255.ec2.internal,res-002,0.6,0.6,1.0,1.0,0.632,0.506,0.664,0.632,0.028,0.042,0.028,600000000,600000000,1200000000,1200000000,1054639308,843711446,1107371273,1054639308,727077366,508954156,872492839,727077366,NVIDIA-A100-SXM4-40GB,,32.52,70.46,54.2,25.2,70.55,50.39,5755.7,10689.16,8222.43
