report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,accelerator_model_name,accelerator_profile_name,accelerator_core_usage_percentage_min,accelerator_core_usage_percentage_max,accelerator_core_usage_percentage_avg,accelerator_memory_copy_percentage_min,accelerator_memory_copy_percentage_max,accelerator_memory_copy_percentage_avg,accelerator_frame_buffer_usage_min,accelerator_frame_buffer_usage_max,accelerator_frame_buffer_usage_avg
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T00:00:00,2025-06-15T00:15:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.788,0.63,0.827,0.788,0.026,0.039,0.026,300000000,300000000,1000000000,1000000000,621453784,497163027,652526473,621453784,284907438,199435206,341888925,284907438,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,8291.37,15398.27,11844.82
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T00:15:00,2025-06-15T00:30:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.631,0.505,0.663,0.631,0.019,0.028,0.019,300000000,300000000,1000000000,1000000000,653144730,522515784,685801966,653144730,408357316,285850121,490028779,408357316,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,6032.08,11202.44,8617.26
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T00:30:00,2025-06-15T00:45:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.715,0.572,0.751,0.715,0.022,0.033,0.022,300000000,300000000,1000000000,1000000000,662780882,530224705,695919926,662780882,299350365,209545255,359220438,299350365,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,6023.07,11185.69,8604.38
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T00:45:00,2025-06-15T01:00:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.841,0.673,0.883,0.841,0.03,0.045,0.03,300000000,300000000,1000000000,1000000000,851480498,681184398,894054522,851480498,409702015,286791410,491642418,409702015,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,8065.43,14978.65,11522.04
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T01:00:00,2025-06-15T01:15:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.467,0.374,0.49,0.467,0.013,0.019,0.013,300000000,300000000,1000000000,1000000000,897814521,718251616,942705247,897814521,594310355,416017248,713172426,594310355,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,7979.78,14819.58,11399.68
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T01:15:00,2025-06-15T01:30:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.652,0.522,0.685,0.652,0.013,0.019,0.013,300000000,300000000,1000000000,1000000000,653085266,522468212,685739529,653085266,263109582,184176707,315731498,263109582,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,5785.17,10743.89,8264.53
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T01:30:00,2025-06-15T01:45:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.59,0.472,0.619,0.59,0.027,0.041,0.027,300000000,300000000,1000000000,1000000000,708368815,566695052,743787255,708368815,364858370,255400858,437830044,364858370,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,5658.63,10508.89,8083.76
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T01:45:00,2025-06-15T02:00:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.81,0.648,0.851,0.81,0.014,0.021,0.014,300000000,300000000,1000000000,1000000000,669283271,535426616,702747434,669283271,373262219,261283553,447914662,373262219,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,7206.96,13384.36,10295.66
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T02:00:00,2025-06-15T02:15:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.667,0.534,0.7,0.667,0.013,0.019,0.013,300000000,300000000,1000000000,1000000000,707219977,565775981,742580975,707219977,439470613,307629429,527364735,439470613,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,5761.34,10699.62,8230.48
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T02:15:00,2025-06-15T02:30:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.519,0.415,0.545,0.519,0.023,0.035,0.023,300000000,300000000,1000000000,1000000000,653834689,523067751,686526423,653834689,325809624,228066736,390971548,325809624,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,5873.1,10907.18,8390.14
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T02:30:00,2025-06-15T02:45:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.64,0.512,0.672,0.64,0.02,0.03,0.02,300000000,300000000,1000000000,1000000000,600800138,480640110,630840144,600800138,409672364,286770654,491606836,409672364,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,5845.24,10855.46,8350.35
2025-06-15T00:00:00,2025-06-20T00:00:00,2025-06-15T02:45:00,2025-06-15T03:00:00,gpu-partition-app-container,gpu-partition-app-pod-0,gpu-partition-app,Job,gpu-partition-app,job,cv,quay.io/production/gpu-partition-app:latest,ip-255-255-255-255.ec2.internal,res-003,0.4,0.4,0.9,0.9,0.456,0.365,0.479,0.456,0.017,0.026,0.017,300000000,300000000,1000000000,1000000000,721707711,577366168,757793096,721707711,372025981,260418186,446431177,372025981,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,7044.78,13083.16,10063.97
