report_period_start,report_period_end,interval_start,interval_end,container_name,owner_kind,workload,workload_type,namespace,image_name,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:00:01 +0000 UTC,2023-03-15 13:15:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000874,0.000394,0.004444,0.000874,0,0,0,20971520,20971520,524288000,524288000,28327011.096774,27893760,29433856,28327011.096774,21254011.870968,20832256,22372352,21254011.870968,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:15:01 +0000 UTC,2023-03-15 13:30:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000792,0.00042,0.001315,0.000792,0,0,0,20971520,20971520,524288000,524288000,27993385.290323,27668480,28618752,27993385.290323,20931881.290323,20606976,21557248,20931881.290323,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:30:01 +0000 UTC,2023-03-15 13:45:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000779,0.000364,0.001255,0.000779,0,0,0,20971520,20971520,524288000,524288000,27772729.806452,27668480,28405760,27772729.806452,20711093.677419,20606976,21344256,20711093.677419,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:45:01 +0000 UTC,2023-03-15 14:00:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000783,0.000414,0.001257,0.000783,0,0,0,20971520,20971520,524288000,524288000,28085743.483871,27762688,28549120,28085743.483871,21024107.354839,20701184,21487616,21024107.354839,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:00:01 +0000 UTC,2023-03-15 14:15:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000879,0.000237,0.003942,0.000879,0,0,0,20971520,20971520,524288000,524288000,28105959.225806,27918336,28557312,28105959.225806,21009969.548387,20856832,21495808,21009969.548387,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:15:01 +0000 UTC,2023-03-15 14:30:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000776,0.000312,0.001378,0.000776,0,0,0,20971520,20971520,524288000,524288000,27983607.741935,27811840,28585984,27983607.741935,20877047.741935,20709376,21483520,20877047.741935,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:30:01 +0000 UTC,2023-03-15 14:45:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000771,0.000362,0.001412,0.000771,0,0,0,20971520,20971520,524288000,524288000,27968941.419355,27729920,28188672,27968941.419355,20930692.129032,20725760,21118976,20930692.129032,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:45:01 +0000 UTC,2023-03-15 15:00:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000786,0.000361,0.001394,0.000786,0,0,0,20971520,20971520,524288000,524288000,27972905.290323,27750400,28520448,27972905.290323,20993057.032258,20779008,21549056,20993057.032258,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:00:01 +0000 UTC,2023-03-15 15:15:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000868,0.000426,0.003713,0.000868,0,0,0,20971520,20971520,524288000,524288000,28394000.516129,27553792,29470720,28394000.516129,21236306.580645,20611072,22487040,21236306.580645,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:15:01 +0000 UTC,2023-03-15 15:30:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000801,0.00045,0.001391,0.000801,0,0,0,20971520,20971520,524288000,524288000,28490322.580645,28258304,29175808,28490322.580645,20934259.612903,20664320,21581824,20934259.612903,deployment,koku-metrics-operator
