interval_start_time,interval_end_time,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Tue Dec 20 15:40:02 UTC 2022,Tue Dec 20 15:55:03 UTC 2022,5.37,16.11,8,24,0.008612013913388,0.001435335652231,0.003050324185815,0.000361107147235,0,0,0,1193000000,3579000000,1500000000,4500000000,3781858620.50909,630309770.084849,1394630656,0,3672360960,612060160,1384235008,0,481.55788404232,80.2594040720796,135.912122428571,38.0160106666667
Tue Dec 20 15:55:03 UTC 2022,Tue Dec 20 16:10:03 UTC 2022,5.37,16.11,8,24,9.23642774156611,3.0788092471887,4.05884393815185,0.122641301400588,0.00125369576092,0.000417898586973,0.00125369576092,1193000000,3579000000,1500000000,4500000000,766378908.903226,255459636.301075,304136192,204083200,735602754.064516,245200918.021505,295690240,196321280,27691309.9042984,9231173.64912124,9255678.68390182,9191132.36119014
Tue Dec 20 16:10:03 UTC 2022,Tue Dec 20 16:25:03 UTC 2022,5.37,16.11,8,24,9.04609118991037,3.01536372997012,3.88964089192222,2.34309635937407,0,0,0,1193000000,3579000000,1500000000,4500000000,868552307.612903,289517435.870968,329990144,241156096,838508147.612903,279502715.870968,322428928,236003328,24798880.337931,8266293.44597701,8378470.52873563,8064978.43908046
Tue Dec 20 16:25:03 UTC 2022,Tue Dec 20 16:40:04 UTC 2022,5.37,16.11,8,24,8.46914730046654,2.82304910015551,4.58010182155185,2.30112868885926,0.112328922496552,0.037442974165517,0.085147492862069,1193000000,3579000000,1500000000,4500000000,933415638.709677,311138546.236559,363839488,263438336,900835261.935484,300278420.645161,351924224,258445312,36125171.9781609,12041723.9927203,12307541.808046,11568759.2954023
Tue Dec 20 16:40:04 UTC 2022,Tue Dec 20 16:55:04 UTC 2022,5.37,16.11,8,24,13.2376485156556,4.41254950521852,4.85605234033704,3.91502781582593,0,0,0,1193000000,3579000000,1500000000,4500000000,998525918.967742,332841972.989247,364736512,284610560,963061429.67742,321020476.55914,354910208,278437888,69858508.7287356,23286169.5762452,23467809.2781609,22966048.3356322
Tue Dec 20 16:55:04 UTC 2022,Tue Dec 20 17:10:04 UTC 2022,5.37,16.11,8,24,11.3112178759358,3.77040595864527,4.81386723182222,3.33503295274444,0,0,0,1193000000,3579000000,1500000000,4500000000,1037500944.51613,345833648.172043,373858304,284786688,1003081199.48387,334360399.827957,365318144,278573056,35944907.7747126,11981635.9249042,12408920.145977,11645200.816092
Tue Dec 20 17:10:04 UTC 2022,Tue Dec 20 17:25:05 UTC 2022,5.37,16.11,8,24,9.23973705240321,3.07991235080107,3.92129674667037,2.23026164174074,0,0,0,1193000000,3579000000,1500000000,4500000000,1050368198.19355,350122732.731183,376545280,304742400,1017271329.03226,339090443.010753,367005696,300183552,27725811.4724138,9241937.15747126,9325939.06206897,9100648.90229885
Tue Dec 20 17:25:05 UTC 2022,Tue Dec 20 17:40:05 UTC 2022,5.37,16.11,8,24,7.87229159665284,2.62409719888428,3.59979932507037,2.21689067767037,0.004116689491954,0.001372229830651,0.002598697606897,1193000000,3579000000,1500000000,4500000000,1084406486.70968,361468828.903226,417849344,309694464,1049641488.51613,349880496.172043,398999552,305680384,26102270.4954023,8700756.83180077,8862908.89655172,8589921.50689655
Tue Dec 20 17:40:05 UTC 2022,Tue Dec 20 17:55:05 UTC 2022,5.37,16.11,8,24,10.6005743048741,3.53352476829136,3.92478116602223,3.21516195458148,0,0,0,1193000000,3579000000,1500000000,4500000000,1157825172.64516,385941724.215054,409673728,345669632,1120693743.48387,373564581.16129,400642048,338321408,34482618.9310345,11494206.3103448,11975517.6022989,11233670.7310345
Tue Dec 20 17:55:05 UTC 2022,Tue Dec 20 18:10:06 UTC 2022,5.37,16.11,8,24,10.9410424960665,3.64701416535551,4.02861094841482,3.18957297767777,0,0,0,1193000000,3579000000,1500000000,4500000000,1285175362.06452,428391787.354839,468254720,345858048,1240871969.03226,413623989.677419,452382720,338984960,29485039.1,9828346.36666667,9930375.67126437,9739473.64597701
