start_timestamp,end_timestamp,container_name,image_name,namespace,k8_object_name,k8_object_type,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_sum,cpu_usage_container_avg,cpu_usage_container_max,cpu_usage_container_min,cpu_throttle_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_sum,memory_usage_container_avg,memory_usage_container_max,memory_usage_container_min,memory_rss_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_max,memory_rss_usage_container_min,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Wed Feb  1 13:36:23 UTC 2023,Wed Feb  1 13:51:23 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,0.019192736561111,0.006397578853704,0.018803819966667,0.003221068633333,0,0,0,4096000000,12288000000,8192000000,24576000000,479149169.777778,53238796.6419753,189358080,0,463194066.488889,51466007.3876543,183336960,0,117.489551486714,39.169460472158,44.9918835661376,35.1271762837783
Wed Feb  1 13:51:23 UTC 2023,Wed Feb  1 14:06:24 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,11.9798860398411,3.9932953466137,7.3503374672,0.0052060592,0.017606776017733,0.005868480970725,0.017606109464953,4096000000,12288000000,8192000000,24576000000,1485141905.89247,495047301.964158,617603072,178675712,1460135090.37419,486711696.791398,608452608,172535808,43359622.9178146,14453775.8351712,15433051.8158427,13856301.6333753
Wed Feb  1 14:06:24 UTC 2023,Wed Feb  1 14:21:24 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,9.77486969316888,3.25828989772296,6.10310041659999,1.47729262980001,0,0,0,4096000000,12288000000,8192000000,24576000000,1788225126.4,596075042.133333,716759040,453165056,1764362270.83011,588120756.943369,709632000,444334080,36657287.5304925,12219095.8434975,13470032.3304925,11573892.6229885
Wed Feb  1 14:21:24 UTC 2023,Wed Feb  1 14:36:25 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,10.5493979359267,3.51646597864222,7.55852950429999,1.28666656606668,0.004313239558328,0.001437746519443,0.003627253326144,4096000000,12288000000,8192000000,24576000000,2181991210.3914,727330403.463799,866951168,593940480,2157143143.50107,719047714.500359,855724032,586162176,56422072.3450589,18807357.448353,20587454.8531049,17639081.462069
Wed Feb  1 14:36:25 UTC 2023,Wed Feb  1 14:51:25 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,15.7912348975883,5.26374496586275,8.07451614213333,2.18730014576668,0,0,0,4096000000,12288000000,8192000000,24576000000,2572423674.49462,857474558.164875,950714368,801767424,2546128741.84946,848709580.616488,941006848,793370624,111315680.472315,37105226.8241051,40803572.744729,35174144.437931
Wed Feb  1 14:51:25 UTC 2023,Wed Feb  1 15:06:25 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,8.75038556051556,2.91679518683852,6.24383168896663,1.47257624046664,0,0,0,4096000000,12288000000,8192000000,24576000000,2922484090.76989,974161363.589964,986619904,942522368,2892473139.2,964157713.066667,973877248,932462592,41400597.2266038,13800199.0755346,15678471.7794774,12745001.4356322
Wed Feb  1 15:06:26 UTC 2023,Wed Feb  1 15:21:26 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,8.22543557192778,2.74181185730926,4.61029943243338,1.20474125356668,0,0,0,4096000000,12288000000,8192000000,24576000000,2928003855.96559,976001285.321864,993251328,962707456,2899654770.51183,966551590.170609,980623360,954114048,34113632.9930616,11371210.9976872,12896268.1585788,10603022.7505747
Wed Feb  1 15:21:26 UTC 2023,Wed Feb  1 15:36:26 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,8.5680469621611,2.8560156540537,4.55344519380002,1.16401328636663,0.000104568997701,3.49E-05,9.93E-05,4096000000,12288000000,8192000000,24576000000,2987424153.6,995808051.2,1064689664,967487488,2959529636.06021,986509878.686738,1056960512,959025152,33895333.1865563,11298444.3955188,12908939.0785103,10366764.5528736
Wed Feb  1 15:36:26 UTC 2023,Wed Feb  1 15:51:27 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,8.66978738757888,2.88992912919296,4.02132669943336,1.39627099563331,0,0,0,4096000000,12288000000,8192000000,24576000000,3239108850.23656,1079702950.07885,1321373696,1034457088,3211654480.92903,1070551493.64301,1311690752,1023995904,38055135.1393403,12685045.0464468,13870088.5910644,11934422.6632184
Wed Feb  1 15:51:27 UTC 2023,Wed Feb  1 16:06:27 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,11.5461421818503,3.84871406061678,6.48899761986674,0.874032121533431,0,0,0,4096000000,12288000000,8192000000,24576000000,4280791291.04516,1426930430.34839,1703751680,1035767808,4237102425.73763,1412367475.24588,1686806528,1025163264,40934242.2782825,13644747.4260942,15299612.5116159,12794902.8471264
