report_period_start,report_period_end,start_timestamp,end_timestamp,namespace,cpu_request_namespace_sum,cpu_limit_namespace_sum,cpu_usage_namespace_avg,cpu_usage_namespace_min,cpu_usage_namespace_max,cpu_throttle_namespace_avg,cpu_throttle_namespace_max,cpu_throttle_namespace_min,memory_request_namespace_sum,memory_limit_namespace_sum,memory_usage_namespace_avg,memory_usage_namespace_min,memory_usage_namespace_max,memory_rss_usage_namespace_avg,memory_rss_usage_namespace_min,memory_rss_usage_namespace_max,namespace_totalpods_sum,namespace_running_pods_sum
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 17:00:01 +0000 UTC,2023-05-27 17:15:00 +0000 UTC,cert-manager,0.05,0.1,0.000786,0.000397,0.001154,0.000553,0.000553,,52428800,104857600,38433032.258065,38432768,38436864,25370624,25370624,25370624,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 17:15:01 +0000 UTC,2023-05-27 17:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000779,0.00037,0.00135,0.00063,0.00063,,52428800,104857600,38441224.258065,38432768,38694912,25370624,25370624,25370624,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 17:30:01 +0000 UTC,2023-05-27 17:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000785,0.000431,0.001133,0.000934,0.000934,,52428800,104857600,38447037.935484,38375424,38694912,25359525.16129,25309184,25493504,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 17:45:01 +0000 UTC,2023-05-27 18:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000793,0.000426,0.001295,0.001298,0.001298,,52428800,104857600,38448359.225806,38375424,38637568,25377758.967742,25313280,25501696,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 18:00:01 +0000 UTC,2023-05-27 18:15:00 +0000 UTC,cert-manager,0.05,0.1,0.00077,0.000344,0.001391,0.000795,0.000795,,52428800,104857600,38375424,38375424,38375424,25313280,25313280,25313280,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 18:15:01 +0000 UTC,2023-05-27 18:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000782,0.000335,0.001178,0.000764,0.000764,,52428800,104857600,38384012.387097,38375424,38637568,25313280,25313280,25313280,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 18:30:01 +0000 UTC,2023-05-27 18:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000767,0.000452,0.001114,0.000567,0.000567,,52428800,104857600,38383351.741935,38371328,38637568,25313280,25313280,25313280,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 18:45:01 +0000 UTC,2023-05-27 19:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000787,0.000331,0.00126,0.000393,0.000393,,52428800,104857600,38379784.258065,38371328,38633472,25313280,25313280,25313280,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 19:00:01 +0000 UTC,2023-05-27 19:15:00 +0000 UTC,cert-manager,0.05,0.1,0.000761,0.000333,0.001249,0.000258,0.000258,,52428800,104857600,38379916.387097,38371328,38633472,25313280,25313280,25313280,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 19:15:01 +0000 UTC,2023-05-27 19:30:00 +0000 UTC,cert-manager,0.05,0.1,0.00079,0.000406,0.001322,0.000957,0.000957,,52428800,104857600,38399339.354839,38371328,38633472,25332702.967742,25313280,25526272,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 19:30:01 +0000 UTC,2023-05-27 19:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000787,0.000378,0.001163,0.000969,0.000969,,52428800,104857600,38460647.225806,38391808,38719488,25394142.967742,25333760,25399296,1,1
