experiment_name,namespace,timezone,namespaceCpuRequest_sum,namespaceCpuLimit_sum,namespaceMemoryRequest_sum,namespaceMemoryLimit_sum,namespaceCpuUsage_avg,namespaceCpuUsage_min,namespaceCpuUsage_max,namespaceCpuThrottle_avg,namespaceCpuThrottle_min,namespaceCpuThrottle_max,namespaceMemoryRSS_avg,namespaceMemoryRSS_min,namespaceMemoryRSS_max,namespaceMemoryUsage_avg,namespaceMemoryUsage_min,namespaceMemoryUsage_max,cost_short_term_cpu_requests,cost_short_term_memory_requests,cost_short_term_cpu_limits,cost_short_term_memory_limits,cost_medium_term_cpu_requests,cost_medium_term_memory_requests,cost_medium_term_cpu_limits,cost_medium_term_memory_limits,cost_long_term_cpu_requests,cost_long_term_memory_requests,cost_long_term_cpu_limits,cost_long_term_memory_limits,cost_short_term_cpu_requests_variation,cost_short_term_memory_requests_variation,cost_short_term_cpu_limits_variation,cost_short_term_memory_limits_variation,cost_medium_term_cpu_requests_variation,cost_medium_term_memory_requests_variation,cost_medium_term_cpu_limits_variation,cost_medium_term_memory_limits_variation,cost_long_term_cpu_requests_variation,cost_long_term_memory_requests_variation,cost_long_term_cpu_limits_variation,cost_long_term_memory_limits_variation,performance_short_term_cpu_requests,performance_short_term_memory_requests,performance_short_term_cpu_limits,performance_short_term_memory_limits,performance_medium_term_cpu_requests,performance_medium_term_memory_requests,performance_medium_term_cpu_limits,performance_medium_term_memory_limits,performance_long_term_cpu_requests,performance_long_term_memory_requests,performance_long_term_cpu_limits,performance_long_term_memory_limits,performance_short_term_cpu_requests_variation,performance_short_term_memory_requests_variation,performance_short_term_cpu_limits_variation,performance_short_term_memory_limits_variation,performance_medium_term_cpu_requests_variation,performance_medium_term_memory_requests_variation,performance_medium_term_cpu_limits_variation,performance_medium_term_memory_limits_variation,performance_long_term_cpu_requests_variation,performance_long_term_memory_requests_variation,performance_long_term_cpu_limits_variation,performance_long_term_memory_limits_variation,namespaceCpuUsage_format,namespaceMemoryUsage_format
e23-alias|cert-manager,cert-manager,2023-05-27T17:15:00.000Z,0.05,0.1,50.0,100.0,0.000786,0.000397,0.001154,0.000553,,0.000553,24.1953125,24.1953125,24.1953125,36.652595766129494,36.65234375,36.65625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cores,MiB
e23-alias|cert-manager,cert-manager,2023-05-27T17:30:00.000Z,0.05,0.1,50.0,100.0,0.000779,0.00037,0.00135,0.00063,,0.00063,24.1953125,24.1953125,24.1953125,36.660408266129494,36.65234375,36.90234375,0.00198,37.95234375,0.00198,37.95234375,,,,,,,,,-0.04802,-12.047656250000003,-0.09802000000000001,-62.04765625,,,,,,,,,0.00198,37.95234375,0.00198,37.95234375,,,,,,,,,-0.04802,-12.047656250000003,-0.09802000000000001,-62.04765625,,,,,,,,,cores,MiB
e23-alias|cert-manager,cert-manager,2023-05-27T17:45:00.000Z,0.05,0.1,50.0,100.0,0.000785,0.000431,0.001133,0.000934,,0.000934,24.18472782258034,24.13671875,24.3125,36.665952620967865,36.59765625,36.90234375,0.002067,37.95234375,0.002067,37.95234375,,,,,,,,,-0.047933,-12.047656250000003,-0.097933,-62.04765625,,,,,,,,,0.002067,37.95234375,0.002067,37.95234375,,,,,,,,,-0.047933,-12.047656250000003,-0.097933,-62.04765625,,,,,,,,,cores,MiB
e23-alias|cert-manager,cert-manager,2023-05-27T18:00:00.000Z,0.05,0.1,50.0,100.0,0.000793,0.000426,0.001295,0.001298,,0.001298,24.202116935483932,24.140625,24.3203125,36.66721270161247,36.59765625,36.84765625,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,cores,MiB
e23-alias|cert-manager,cert-manager,2023-05-27T18:15:00.000Z,0.05,0.1,50.0,100.0,0.00077,0.000344,0.001391,0.000795,,0.000795,24.140625,24.140625,24.140625,36.59765625,36.59765625,36.59765625,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,cores,MiB
e23-alias|cert-manager,cert-manager,2023-05-27T18:30:00.000Z,0.05,0.1,50.0,100.0,0.000782,0.000335,0.001178,0.000764,,0.000764,24.140625,24.140625,24.140625,36.605846774193765,36.59765625,36.84765625,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,cores,MiB
e23-alias|cert-manager,cert-manager,2023-05-27T18:45:00.000Z,0.05,0.1,50.0,100.0,0.000767,0.000452,0.001114,0.000567,,0.000567,24.140625,24.140625,24.140625,36.605216733870506,36.59375,36.84765625,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,cores,MiB
e23-alias|cert-manager,cert-manager,2023-05-27T19:00:00.000Z,0.05,0.1,50.0,100.0,0.000787,0.000331,0.00126,0.000393,,0.000393,24.140625,24.140625,24.140625,36.601814516129494,36.59375,36.84375,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,cores,MiB
e23-alias|cert-manager,cert-manager,2023-05-27T19:15:00.000Z,0.05,0.1,50.0,100.0,0.000761,0.000333,0.001249,0.000258,,0.000258,24.140625,24.140625,24.140625,36.601940524193765,36.59375,36.84375,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,cores,MiB
e23-alias|cert-manager,cert-manager,2023-05-27T19:30:00.000Z,0.05,0.1,50.0,100.0,0.00079,0.000406,0.001322,0.000957,,0.000957,24.159148185483932,24.140625,24.34375,36.62046370967769,36.59375,36.84375,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,0.002593,37.95234375,0.002593,37.95234375,,,,,,,,,-0.047407000000000005,-12.047656250000003,-0.09740700000000001,-62.04765625,,,,,,,,,cores,MiB
