report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 07:00:01 +0000 UTC,2023-06-07 07:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.059075,0.00497,0.546016,0.059075,0.009446,0.009446,0.009446,0,0,0,0,170141696,0,240537600,170141696,154484736,0,227102720,154484736
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 07:15:01 +0000 UTC,2023-06-07 07:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006994,0.002296,0.012038,0.006994,0,0,0,268435456,268435456,536870912,536870912,294623430.193548,294608896,294711296,294623430.193548,278796882.580645,278790144,278859776,278796882.580645
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 07:30:01 +0000 UTC,2023-06-07 07:45:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.007627,0.003154,0.015325,0.007627,0,0,0,268435456,268435456,536870912,536870912,255028974.933333,254427136,255426560,255028974.933333,243086950.4,241819648,243736576,243086950.4
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 07:45:01 +0000 UTC,2023-06-07 08:00:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006442,0.003403,0.009609,0.006442,0,0,0,268435456,268435456,536870912,536870912,232624920.774194,232112128,235929600,232624920.774194,222317138.580645,221872128,225320960,222317138.580645
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 08:00:01 +0000 UTC,2023-06-07 08:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006137,0.002569,0.008149,0.006137,0,0,0,268435456,268435456,536870912,536870912,186252519.225806,186187776,186617856,186252519.225806,171619625.290323,171552768,173625344,171619625.290323
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 08:15:01 +0000 UTC,2023-06-07 08:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.007663,0.004731,0.011324,0.007663,0,0,0,268435456,268435456,536870912,536870912,202735616,202690560,203010048,202735616,191740762.83871,191709184,191942656,191740762.83871
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 08:30:01 +0000 UTC,2023-06-07 08:45:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.007016,0.004164,0.011967,0.007016,0,0,0,268435456,268435456,536870912,536870912,296329216,294612992,297402368,296329216,278967989.677419,278790144,279191552,278967989.677419
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 08:45:01 +0000 UTC,2023-06-07 09:00:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.007897,0.004043,0.011132,0.007897,0,0,0,268435456,268435456,536870912,536870912,203188950.709677,202690560,203939840,203188950.709677,192150230.709677,191709184,192397312,192150230.709677
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 09:00:01 +0000 UTC,2023-06-07 09:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.008107,0.003255,0.013706,0.008107,0,0,0,268435456,268435456,536870912,536870912,255302997.333333,255229952,255549440,255302997.333333,243646873.6,243597312,243830784,243646873.6
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 09:15:01 +0000 UTC,2023-06-07 09:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006367,0.002812,0.009735,0.006367,0,0,0,268435456,268435456,536870912,536870912,186385044.645161,186187776,186748928,186385044.645161,171722553.806452,171552768,172056576,171722553.806452
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 09:30:01 +0000 UTC,2023-06-07 09:45:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.007217,0.003414,0.013429,0.007217,0,0,0,268435456,268435456,536870912,536870912,232360662.709677,232112128,232873984,232360662.709677,222066621.935484,221872128,222339072,222066621.935484
