report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name,cluster_name
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:00:01 +0000 UTC,2023-05-30 17:15:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.6e-05,0.0,0.000166,3.6e-05,,,,,,,,26498081.032258,26492928.0,26501120.0,26498081.032258,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:15:01 +0000 UTC,2023-05-30 17:30:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.5e-05,0.0,0.000155,3.5e-05,,,,,,,,26498213.16129,26492928.0,26501120.0,26498213.16129,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:30:01 +0000 UTC,2023-05-30 17:45:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.2e-05,0.0,0.000156,3.2e-05,,,,,,,,26499270.193548,26497024.0,26501120.0,26499270.193548,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:45:01 +0000 UTC,2023-05-30 18:00:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.5e-05,0.0,0.00016299999999999998,3.5e-05,,,,,,,,26497552.516129002,26492928.0,26505216.0,26497552.516129002,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:00:01 +0000 UTC,2023-05-30 18:15:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.3e-05,0.0,0.000156,3.3e-05,,,,,,,,26495966.967742,26492928.0,26501120.0,26495966.967742,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:15:01 +0000 UTC,2023-05-30 18:30:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.6e-05,0.0,0.000156,3.6e-05,,,,,,,,26497552.516129002,26492928.0,26501120.0,26497552.516129002,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:30:01 +0000 UTC,2023-05-30 18:45:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.4e-05,0.0,0.000152,3.4e-05,,,,,,,,26497552.516129002,26492928.0,26501120.0,26497552.516129002,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:45:01 +0000 UTC,2023-05-30 19:00:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.6e-05,0.0,0.000161,3.6e-05,,,,,,,,26498609.548387,26492928.0,26505216.0,26498609.548387,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:00:01 +0000 UTC,2023-05-30 19:15:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.6e-05,0.0,0.000161,3.6e-05,,,,,,,,26499666.580645002,26492928.0,26505216.0,26499666.580645002,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:15:01 +0000 UTC,2023-05-30 19:30:00 +0000 UTC,fe-image,advisor-frontend-598477ccb6-dtnns,advisor-frontend-598477ccb6,ReplicaSet,advisor-frontend,deployment,consoledot-frontend-stage,quay.io/cloudservices/insights-advisor-frontend:9d8e61d,ip-10-4-199-55.ec2.internal,i-025b8750f91a6e05a,,,,,3.3e-05,0.0,0.00016299999999999998,3.3e-05,,,,,,,,26498081.032258,26492928.0,26505216.0,26498081.032258,16625664.0,16625664.0,16625664.0,16625664.0,deployment,advisor-frontend,cluster1
