report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,cluster_name,accelerator_model_name,accelerator_profile_name,accelerator_core_usage_percentage_min,accelerator_core_usage_percentage_max,accelerator_core_usage_percentage_avg,accelerator_memory_copy_percentage_min,accelerator_memory_copy_percentage_max,accelerator_memory_copy_percentage_avg,accelerator_frame_buffer_usage_min,accelerator_frame_buffer_usage_max,accelerator_frame_buffer_usage_avg
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:00:01 +0000 UTC,2023-05-30 17:15:00 +0000 UTC,cert-manager-openshift-routes-gpu,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes-gpu,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.00076,0.000285,0.001251,0.00076,0.00082,0.00082,0.00082,52428800,52428800,104857600,104857600,39196738.064516,39194624,39198720,39196738.064516,25300992,25300992,25300992,25300992,cluster1,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,5752.45,10683.11,8217.78
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:15:01 +0000 UTC,2023-05-30 17:30:00 +0000 UTC,cert-manager-openshift-routes-gpu,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes-gpu,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000744,0.000361,0.001265,0.000744,0.001089,0.001089,0.001089,52428800,52428800,104857600,104857600,39197134.451613,39194624,39198720,39197134.451613,25300992,25300992,25300992,25300992,cluster1,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,7523.94,13973.02,10748.48
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:30:01 +0000 UTC,2023-05-30 17:45:00 +0000 UTC,cert-manager-openshift-routes-gpu,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes-gpu,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.00077,0.000388,0.001156,0.00077,0.00064,0.00064,0.00064,52428800,52428800,104857600,104857600,39206912,39194624,39460864,39206912,25300992,25300992,25300992,25300992,cluster1,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,6236.51,11582.09,8909.3
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:45:01 +0000 UTC,2023-05-30 18:00:00 +0000 UTC,cert-manager-openshift-routes-gpu,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes-gpu,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000757,0.000285,0.001184,0.000757,0.001013,0.001013,0.001013,52428800,52428800,104857600,104857600,39205987.096774,39194624,39460864,39205987.096774,25300992,25300992,25300992,25300992,cluster1,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,5712.31,10608.57,8160.44
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:00:01 +0000 UTC,2023-05-30 18:15:00 +0000 UTC,cert-manager-openshift-routes-gpu,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes-gpu,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.00078,0.000375,0.00122,0.00078,0.00056,0.00056,0.00056,52428800,52428800,104857600,104857600,39214443.354839,39194624,39460864,39214443.354839,25300992,25300992,25300992,25300992,cluster1,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,6230.29,11570.53,8900.41
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:15:01 +0000 UTC,2023-05-30 18:30:00 +0000 UTC,cert-manager-openshift-routes-gpu,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes-gpu,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000761,0.000363,0.001275,0.000761,0.000564,0.000564,0.000564,52428800,52428800,104857600,104857600,39116535.741935,39006208,39460864,39116535.741935,25202159.483871,25108480,25300992,25202159.483871,cluster1,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,6041.43,11219.79,8630.61
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:30:01 +0000 UTC,2023-05-30 18:45:00 +0000 UTC,cert-manager-openshift-routes-gpu,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes-gpu,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000751,0.000304,0.001253,0.000751,0.001023,0.001023,0.001023,52428800,52428800,104857600,104857600,39120103.225806,39108608,39374848,39120103.225806,25214976,25214976,25214976,25214976,cluster1,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,7961.25,14785.17,11373.21
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:45:01 +0000 UTC,2023-05-30 19:00:00 +0000 UTC,cert-manager-openshift-routes-gpu,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes-gpu,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000769,0.000471,0.001021,0.000769,0.001003,0.001003,0.001003,52428800,52428800,104857600,104857600,39111646.967742,39108608,39112704,39111646.967742,25214976,25214976,25214976,25214976,cluster1,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,6082.79,11296.61,8689.7
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:00:01 +0000 UTC,2023-05-30 19:15:00 +0000 UTC,cert-manager-openshift-routes-gpu,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes-gpu,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000825,0.000338,0.00241,0.000825,0.000943,0.000943,0.000943,52428800,52428800,104857600,104857600,39461656.774194,39108608,40435712,39461656.774194,25556793.806452,25214976,26542080,25556793.806452,cluster1,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,6982.46,12967.42,9974.94
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:15:01 +0000 UTC,2023-05-30 19:30:00 +0000 UTC,cert-manager-openshift-routes-gpu,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes-gpu,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.001017,0.000324,0.00708,0.001017,0.002182,0.002182,0.002182,52428800,52428800,104857600,104857600,39540934.193548,39129088,40927232,39540934.193548,25628936.258065,25235456,26796032,25628936.258065,cluster1,NVIDIA-A100-SXM4-40GB,3g.20gb,,,,,,,6095.03,11319.35,8707.19
