report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name,cluster_name
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:00:01 +0000 UTC,2023-05-30 17:15:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.0007599999999999999,0.000285,0.001251,0.0007599999999999999,0.00082,0.00082,0.00082,52428800.0,52428800.0,104857600.0,104857600.0,39196738.064516,39194624.0,39198720.0,39196738.064516,25300992.0,25300992.0,25300992.0,25300992.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:15:01 +0000 UTC,2023-05-30 17:30:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.0007440000000000001,0.000361,0.001265,0.0007440000000000001,0.0010890000000000001,0.0010890000000000001,0.0010890000000000001,52428800.0,52428800.0,104857600.0,104857600.0,39197134.451613,39194624.0,39198720.0,39197134.451613,25300992.0,25300992.0,25300992.0,25300992.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:30:01 +0000 UTC,2023-05-30 17:45:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.0007700000000000001,0.000388,0.0011560000000000001,0.0007700000000000001,0.00064,0.00064,0.00064,52428800.0,52428800.0,104857600.0,104857600.0,39206912.0,39194624.0,39460864.0,39206912.0,25300992.0,25300992.0,25300992.0,25300992.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:45:01 +0000 UTC,2023-05-30 18:00:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.0007570000000000001,0.000285,0.001184,0.0007570000000000001,0.001013,0.001013,0.001013,52428800.0,52428800.0,104857600.0,104857600.0,39205987.096774,39194624.0,39460864.0,39205987.096774,25300992.0,25300992.0,25300992.0,25300992.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:00:01 +0000 UTC,2023-05-30 18:15:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.00078,0.000375,0.00122,0.00078,0.00056,0.00056,0.00056,52428800.0,52428800.0,104857600.0,104857600.0,39214443.354839005,39194624.0,39460864.0,39214443.354839005,25300992.0,25300992.0,25300992.0,25300992.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:15:01 +0000 UTC,2023-05-30 18:30:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.0007610000000000001,0.000363,0.001275,0.0007610000000000001,0.0005639999999999999,0.0005639999999999999,0.0005639999999999999,52428800.0,52428800.0,104857600.0,104857600.0,39116535.741935,39006208.0,39460864.0,39116535.741935,25202159.483870998,25108480.0,25300992.0,25202159.483870998,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:30:01 +0000 UTC,2023-05-30 18:45:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.0007509999999999999,0.000304,0.001253,0.0007509999999999999,0.001023,0.001023,0.001023,52428800.0,52428800.0,104857600.0,104857600.0,39120103.225806,39108608.0,39374848.0,39120103.225806,25214976.0,25214976.0,25214976.0,25214976.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:45:01 +0000 UTC,2023-05-30 19:00:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000769,0.000471,0.001021,0.000769,0.001003,0.001003,0.001003,52428800.0,52428800.0,104857600.0,104857600.0,39111646.967741996,39108608.0,39112704.0,39111646.967741996,25214976.0,25214976.0,25214976.0,25214976.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:00:01 +0000 UTC,2023-05-30 19:15:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000825,0.000338,0.0024100000000000002,0.000825,0.0009429999999999999,0.0009429999999999999,0.0009429999999999999,52428800.0,52428800.0,104857600.0,104857600.0,39461656.774194,39108608.0,40435712.0,39461656.774194,25556793.806452,25214976.0,26542080.0,25556793.806452,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:15:01 +0000 UTC,2023-05-30 19:30:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.001017,0.000324,0.0070799999999999995,0.001017,0.002182,0.002182,0.002182,52428800.0,52428800.0,104857600.0,104857600.0,39540934.193548,39129088.0,40927232.0,39540934.193548,25628936.258065,25235456.0,26796032.0,25628936.258065,deployment,cert-manager-openshift-routes,cluster1
