report_period_start,report_period_end,interval_start,interval_end,container_name,owner_kind,workload,workload_type,namespace,image_name,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:00:01 +0000 UTC,2023-03-15 13:15:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,europe,test,,0,,0,0.047495,0.031216,0.063948,0.09499,,,0,1073741824,2147483648,1073741824,2147483648,529219253.67742,520810496,539361280,1058438507.35484,515850636.387097,505262080,528232448,1031701272.77419,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:15:01 +0000 UTC,2023-03-15 13:30:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,europe,test,,0,,0,0.0480205,0.031223,0.064389,0.096041,,,0,1073741824,2147483648,1073741824,2147483648,529695116.387097,520978432,552644608,1059390232.77419,516192718.451613,505262080,540516352,1032385436.90323,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:30:01 +0000 UTC,2023-03-15 13:45:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,europe,test,,0,,0,0.047491,0.031271,0.079698,0.094982,,,0,1073741824,2147483648,1073741824,2147483648,529536033.032258,520978432,562905088,1059072066.06452,515966777.806452,505262080,550649856,1031933555.6129,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:45:01 +0000 UTC,2023-03-15 14:00:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,europe,test,,0,,0,0.0472015,0.016967,0.077624,0.094403,,,0,1073741824,2147483648,1073741824,2147483648,529663669.677419,520978432,555593728,1059327339.35484,516187367.225807,505262080,543272960,1032374734.45161,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:00:01 +0000 UTC,2023-03-15 14:15:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,europe,test,,0,,0,0.0480225,0.01657,0.079381,0.096045,,,0,1073741824,2147483648,1073741824,2147483648,529870055.225806,520921088,564514816,1059740110.45161,516511347.612903,505262080,552558592,1033022695.22581,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:15:01 +0000 UTC,2023-03-15 14:30:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,europe,test,,0,,0,0.047616,0.016326,0.08053,0.095232,,,0,1073741824,2147483648,1073741824,2147483648,529257240.774194,520916992,544993280,1058514481.54839,515967570.580645,505466880,533483520,1031935141.16129,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:30:01 +0000 UTC,2023-03-15 14:45:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,europe,test,,0,,0,0.0474295,0.01602,0.064476,0.094859,,,0,1073741824,2147483648,1073741824,2147483648,529190515.612903,520679424,548888576,1058381031.22581,515742158.451613,505262080,536797184,1031484316.90323,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:45:01 +0000 UTC,2023-03-15 15:00:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,europe,test,,0,,0,0.0471625,0.016167,0.079899,0.094325,,,0,1073741824,2147483648,1073741824,2147483648,529734821.161291,520507392,551002112,1059469642.32258,516391572.645162,505262080,539373568,1032783145.29032,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:00:01 +0000 UTC,2023-03-15 15:15:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,europe,test,,0,,0,0.04776,0.016004,0.064626,0.09552,,,0,1073741824,2147483648,1073741824,2147483648,529160456.258065,520273920,549883904,1058320912.51613,516006746.83871,505262080,538030080,1032013493.67742,deploymentconfig,eap-app
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:15:01 +0000 UTC,2023-03-15 15:30:00 +0000 UTC,eap-app,ReplicationController,eap-app,deploymentconfig,europe,test,,0,,0,0.047989,0.016188,0.074699,0.095978,,,0,1073741824,2147483648,1073741824,2147483648,529095580.903226,520212480,545591296,1058191161.80645,515894106.83871,505270272,533360640,1031788213.67742,deploymentconfig,eap-app
