report_period_start,report_period_end,interval_start,interval_end,container_name,owner_kind,workload,workload_type,namespace,image_name,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:00:01 +0000 UTC,2023-03-15 13:15:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001758,0.000621,0.013498,0.001758,5.9E-05,5.9E-05,5.9E-05,20971520,20971520,524288000,524288000,42864507.870968,42278912,45723648,42864507.870968,26412857.806452,25989120,29282304,26412857.806452,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:15:01 +0000 UTC,2023-03-15 13:30:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.00139,0.00077,0.002484,0.00139,0,0,0,20971520,20971520,524288000,524288000,42683226.83871,42524672,42971136,42683226.83871,26243336.258065,26083328,26529792,26243336.258065,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:30:01 +0000 UTC,2023-03-15 13:45:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001333,0.000711,0.002069,0.001333,0,0,0,20971520,20971520,524288000,524288000,42727490.064516,42528768,43106304,42727490.064516,26287335.225806,26087424,26664960,26287335.225806,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 13:45:01 +0000 UTC,2023-03-15 14:00:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001345,0.000536,0.002173,0.001345,0,0,0,20971520,20971520,524288000,524288000,42684283.870968,42455040,43171840,42684283.870968,26244261.16129,26013696,26734592,26244261.16129,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:00:01 +0000 UTC,2023-03-15 14:15:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001663,0.000701,0.010168,0.001663,4.7E-05,4.7E-05,4.7E-05,20971520,20971520,524288000,524288000,42801482.322581,42434560,45166592,42801482.322581,26197751.741935,25952256,28528640,26197751.741935,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:15:01 +0000 UTC,2023-03-15 14:30:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001379,0.000651,0.001996,0.001379,0,0,0,20971520,20971520,524288000,524288000,42801350.193548,42532864,43257856,42801350.193548,26166040.774194,25894912,26624000,26166040.774194,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:30:01 +0000 UTC,2023-03-15 14:45:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001327,0.000543,0.002174,0.001327,0,0,0,20971520,20971520,524288000,524288000,42650590.967742,42291200,43126784,42650590.967742,26216381.935484,25911296,26648576,26216381.935484,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 14:45:01 +0000 UTC,2023-03-15 15:00:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001361,0.000553,0.002019,0.001361,0,0,0,20971520,20971520,524288000,524288000,42498510.451613,42328064,42647552,42498510.451613,26203565.419355,26066944,26386432,26203565.419355,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:00:01 +0000 UTC,2023-03-15 15:15:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001637,0.000697,0.009814,0.001637,1.6E-05,1.6E-05,1.6E-05,20971520,20971520,524288000,524288000,42694589.935484,42274816,47235072,42694589.935484,26402155.354839,25952256,30908416,26402155.354839,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:15:01 +0000 UTC,2023-03-15 15:30:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001332,0.000687,0.002363,0.001332,0,0,0,20971520,20971520,524288000,524288000,42542113.032258,42323968,42962944,42542113.032258,26219949.419355,26001408,26640384,26219949.419355,deployment,koku-metrics-operator
