report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name,cluster_name
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:00:01 +0000 UTC,2023-05-30 17:15:00 +0000 UTC,clowder-plugin,clowder-plugin-65cb58474f-nddwn,clowder-plugin-65cb58474f,ReplicaSet,clowder-plugin,deployment,clowder-system,quay.io/cloudservices/clowder-plugin:2abf074,ip-10-4-191-239.ec2.internal,i-0e4556cf0a48a6da3,,,,,4.6e-05,1.4000000000000001e-05,8.4e-05,4.6e-05,,,,,,,,2916352.0,2916352.0,2916352.0,2916352.0,1658880.0,1658880.0,1658880.0,1658880.0,deployment,clowder-plugin,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:15:01 +0000 UTC,2023-05-30 17:30:00 +0000 UTC,clowder-plugin,clowder-plugin-65cb58474f-nddwn,clowder-plugin-65cb58474f,ReplicaSet,clowder-plugin,deployment,clowder-system,quay.io/cloudservices/clowder-plugin:2abf074,ip-10-4-191-239.ec2.internal,i-0e4556cf0a48a6da3,,,,,5.2000000000000004e-05,2.7000000000000002e-05,0.000129,5.2000000000000004e-05,,,,,,,,2916352.0,2916352.0,2916352.0,2916352.0,1658880.0,1658880.0,1658880.0,1658880.0,deployment,clowder-plugin,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:30:01 +0000 UTC,2023-05-30 17:45:00 +0000 UTC,clowder-plugin,clowder-plugin-65cb58474f-nddwn,clowder-plugin-65cb58474f,ReplicaSet,clowder-plugin,deployment,clowder-system,quay.io/cloudservices/clowder-plugin:2abf074,ip-10-4-191-239.ec2.internal,i-0e4556cf0a48a6da3,,,,,6.2e-05,3.4e-05,0.000121,6.2e-05,,,,,,,,2924808.258065,2916352.0,3178496.0,2924808.258065,1658880.0,1658880.0,1658880.0,1658880.0,deployment,clowder-plugin,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 17:45:01 +0000 UTC,2023-05-30 18:00:00 +0000 UTC,clowder-plugin,clowder-plugin-65cb58474f-nddwn,clowder-plugin-65cb58474f,ReplicaSet,clowder-plugin,deployment,clowder-system,quay.io/cloudservices/clowder-plugin:2abf074,ip-10-4-191-239.ec2.internal,i-0e4556cf0a48a6da3,,,,,6.2e-05,2.1e-05,0.000136,6.2e-05,,,,,,,,2924808.258065,2916352.0,3178496.0,2924808.258065,1658880.0,1658880.0,1658880.0,1658880.0,deployment,clowder-plugin,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:00:01 +0000 UTC,2023-05-30 18:15:00 +0000 UTC,clowder-plugin,clowder-plugin-65cb58474f-nddwn,clowder-plugin-65cb58474f,ReplicaSet,clowder-plugin,deployment,clowder-system,quay.io/cloudservices/clowder-plugin:2abf074,ip-10-4-191-239.ec2.internal,i-0e4556cf0a48a6da3,,,,,9.2e-05,4.4e-05,0.000152,9.2e-05,,,,,,,,2916352.0,2916352.0,2916352.0,2916352.0,1658880.0,1658880.0,1658880.0,1658880.0,deployment,clowder-plugin,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:15:01 +0000 UTC,2023-05-30 18:30:00 +0000 UTC,clowder-plugin,clowder-plugin-65cb58474f-nddwn,clowder-plugin-65cb58474f,ReplicaSet,clowder-plugin,deployment,clowder-system,quay.io/cloudservices/clowder-plugin:2abf074,ip-10-4-191-239.ec2.internal,i-0e4556cf0a48a6da3,,,,,7.6e-05,1.9e-05,0.00021099999999999998,7.6e-05,,,,,,,,2924808.258065,2916352.0,3178496.0,2924808.258065,1658880.0,1658880.0,1658880.0,1658880.0,deployment,clowder-plugin,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:30:01 +0000 UTC,2023-05-30 18:45:00 +0000 UTC,clowder-plugin,clowder-plugin-65cb58474f-nddwn,clowder-plugin-65cb58474f,ReplicaSet,clowder-plugin,deployment,clowder-system,quay.io/cloudservices/clowder-plugin:2abf074,ip-10-4-191-239.ec2.internal,i-0e4556cf0a48a6da3,,,,,4.8e-05,1.4000000000000001e-05,9.300000000000001e-05,4.8e-05,,,,,,,,2916484.129032,2916352.0,2920448.0,2916484.129032,1658880.0,1658880.0,1658880.0,1658880.0,deployment,clowder-plugin,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 18:45:01 +0000 UTC,2023-05-30 19:00:00 +0000 UTC,clowder-plugin,clowder-plugin-65cb58474f-nddwn,clowder-plugin-65cb58474f,ReplicaSet,clowder-plugin,deployment,clowder-system,quay.io/cloudservices/clowder-plugin:2abf074,ip-10-4-191-239.ec2.internal,i-0e4556cf0a48a6da3,,,,,5.5e-05,2.2e-05,0.00011,5.5e-05,,,,,,,,2916352.0,2916352.0,2916352.0,2916352.0,1658880.0,1658880.0,1658880.0,1658880.0,deployment,clowder-plugin,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:00:01 +0000 UTC,2023-05-30 19:15:00 +0000 UTC,clowder-plugin,clowder-plugin-65cb58474f-nddwn,clowder-plugin-65cb58474f,ReplicaSet,clowder-plugin,deployment,clowder-system,quay.io/cloudservices/clowder-plugin:2abf074,ip-10-4-191-239.ec2.internal,i-0e4556cf0a48a6da3,,,,,4.7e-05,1.7e-05,0.00011899999999999999,4.7e-05,,,,,,,,2916352.0,2916352.0,2916352.0,2916352.0,1658880.0,1658880.0,1658880.0,1658880.0,deployment,clowder-plugin,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:15:01 +0000 UTC,2023-05-30 19:30:00 +0000 UTC,clowder-plugin,clowder-plugin-65cb58474f-nddwn,clowder-plugin-65cb58474f,ReplicaSet,clowder-plugin,deployment,clowder-system,quay.io/cloudservices/clowder-plugin:2abf074,ip-10-4-191-239.ec2.internal,i-0e4556cf0a48a6da3,,,,,5.6000000000000006e-05,2e-05,0.000128,5.6000000000000006e-05,,,,,,,,2916352.0,2916352.0,2916352.0,2916352.0,1658880.0,1658880.0,1658880.0,1658880.0,deployment,clowder-plugin,cluster1
